species,class,order,maximum_lifespan_yr,mass_g,volancy,fossoriality,foraging_environment,daily_activity
Hippotragus_niger,Mammalia,Artiodactyla,22.2,225000,nonvolant,nonfossorial,terrestrial,diurnal
Hyaena_hyaena,Mammalia,Carnivora,25,40000,nonvolant,nonfossorial,terrestrial,nocturnal
Hydrochoerus_hydrochaeris,Mammalia,Rodentia,15.1,55000,nonvolant,nonfossorial,terrestrial,crepuscular
Hydromys_chrysogaster,Mammalia,Rodentia,7.3,850,nonvolant,nonfossorial,aquatic,cathemeral
Hylobates_agilis,Mammalia,Primates,49,5925,nonvolant,nonfossorial,arboreal,diurnal
Hylobates_lar,Mammalia,Primates,56,6810,nonvolant,nonfossorial,arboreal,diurnal
Hylobates_moloch,Mammalia,Primates,45,6207.5,nonvolant,nonfossorial,arboreal,diurnal
Hylobates_muelleri,Mammalia,Primates,57,5765,nonvolant,nonfossorial,arboreal,diurnal
Hylobates_pileatus,Mammalia,Primates,38,5735,nonvolant,nonfossorial,arboreal,diurnal
Hystrix_africaeaustralis,Mammalia,Rodentia,23.1,24000,nonvolant,semifossorial,terrestrial,nocturnal
Hystrix_brachyura,Mammalia,Rodentia,27.3,8000,nonvolant,semifossorial,terrestrial,nocturnal
Hystrix_cristata,Mammalia,Rodentia,28,20000,nonvolant,semifossorial,terrestrial,nocturnal
Hystrix_indica,Mammalia,Rodentia,27.1,20000,nonvolant,semifossorial,terrestrial,nocturnal
Jaculus_jaculus,Mammalia,Rodentia,7.3,55,nonvolant,semifossorial,terrestrial,nocturnal
Kerodon_rupestris,Mammalia,Rodentia,12.9,950,nonvolant,semifossorial,terrestrial,nocturnal
Kobus_ellipsiprymnus,Mammalia,Artiodactyla,30,175333,nonvolant,nonfossorial,terrestrial,crepuscular
Kobus_kob,Mammalia,Artiodactyla,21.9,105000,nonvolant,nonfossorial,terrestrial,crepuscular
Kobus_leche,Mammalia,Artiodactyla,25.4,94800,nonvolant,nonfossorial,terrestrial,crepuscular
Kobus_megaceros,Mammalia,Artiodactyla,21.1,90000,nonvolant,nonfossorial,terrestrial,crepuscular
Lagorchestes_hirsutus,Mammalia,Diprotodontia,13.2,1310,nonvolant,nonfossorial,terrestrial,nocturnal
Lagostomus_maximus,Mammalia,Rodentia,10.8,6000,nonvolant,semifossorial,terrestrial,crepuscular
Lagothrix_lagotricha,Mammalia,Primates,32,7650,nonvolant,nonfossorial,arboreal,diurnal
Lagurus_lagurus,Mammalia,Rodentia,3.8,20.3,nonvolant,semifossorial,terrestrial,cathemeral
Lama_glama,Mammalia,Artiodactyla,28.9,140000,nonvolant,nonfossorial,terrestrial,diurnal
Lasionycteris_noctivagans,Mammalia,Chiroptera,12,10,volant,nonfossorial,in_air,cathemeral
Lasiorhinus_latifrons,Mammalia,Diprotodontia,29.9,25500,nonvolant,semifossorial,terrestrial,nocturnal
Lasiurus_cinereus,Mammalia,Chiroptera,14,24,volant,nonfossorial,in_air,nocturnal
Lemniscomys_barbarus,Mammalia,Rodentia,4.4,26.2,nonvolant,nonfossorial,terrestrial,cathemeral
Lemniscomys_striatus,Mammalia,Rodentia,4.8,42.3,nonvolant,nonfossorial,terrestrial,cathemeral
Lemur_catta,Mammalia,Primates,37.3,2555,nonvolant,nonfossorial,semiarboreal,diurnal
Leontopithecus_chrysomelas,Mammalia,Primates,21.3,535,nonvolant,nonfossorial,arboreal,diurnal
Leontopithecus_rosalia,Mammalia,Primates,31.6,654.5,nonvolant,nonfossorial,arboreal,diurnal
Leopardus_geoffroyi,Mammalia,Carnivora,23,4000,nonvolant,nonfossorial,terrestrial,nocturnal
Leopardus_pardalis,Mammalia,Carnivora,28.2,8800,nonvolant,nonfossorial,terrestrial,nocturnal
Leopardus_wiedii,Mammalia,Carnivora,24,3666.7,nonvolant,nonfossorial,arboreal,nocturnal
Leptailurus_serval,Mammalia,Carnivora,22.4,13350,nonvolant,nonfossorial,terrestrial,nocturnal
Leptonycteris_curasoae,Mammalia,Chiroptera,10.1,25,volant,nonfossorial,in_air,nocturnal
Lepus_timidus,Mammalia,Lagomorpha,18,4175,nonvolant,nonfossorial,terrestrial,nocturnal
